company full name,symbol
紫金矿业,'601899'
包钢股份,'600010'
恩捷股份,'002812'
中国电信,'601728'
贵州茅台,'600519'
科大讯飞,'002230'
韦尔股份,'603501'
三七互娱,'002555'
中国中车,'601766'
北方稀土,'600111'
兆易创新,'603986'
片仔癀,'600436'
*ST盐湖,'000792'
中国神华,'601088'
长江电力,'600900'
华鲁恒升,'600426'
三峡能源,'600905'
智飞生物,'300122'
恒力石化,'600346'
荣盛石化,'002493'
天齐锂业,'002466'
中国联通,'600050'
歌尔股份,'002241'
宁德时代,'300750'
中国石油,'601857'
顺丰控股,'002352'
格力电器,'000651'
洛阳钼业,'603993'
TCL集团,'000100'
航发动力,'600893'
恒生电子,'600570'
天合光能,'688599'
长春高新,'000661'
泰格医药,'300347'
卫星石化,'002648'
宝丰能源,'600989'
工商银行,'601398'
陕西煤业,'601225'
金山办公,'688111'
宝钢股份,'600019'
分众传媒,'002027'
芒果超媒,'300413'
阳光电源,'300274'
万华化学,'600309'
比亚迪,'002594'
海螺水泥,'600585'
京东方,'000725'
恒瑞医药,'600276'
中远海控,'601919'
隆基股份,'601012'
沃森生物,'300142'
通威股份,'600438'
中国核电,'601985'
中兴通讯,'000063'
药明康德,'603259'
中国国旅,'601888'
中国建筑,'601668'
天赐材料,'002709'
保利地产,'600048'
澜起科技,'688008'
美的集团,'000333'
招商蛇口,'001979'
海康威视,'002415'
华友钴业,'603799'
京沪高铁,'601816'
迈瑞医疗,'300760'
中国铝业,'601600'
海尔智家,'600690'
中国石化,'600028'
东方盛虹,'000301'
紫光股份,'000938'
立讯精密,'002475'
国电南瑞,'600406'
山东黄金,'600547'
中微公司,'688012'
中环股份,'002129'
中际旭创,'300308'
赣锋锂业,'002460'
亿纬锂能,'300014'
潍柴动力,'000338'
中国平安,'601318'
龙蟒佰利,'002601'
紫光国微,'002049'
汇川技术,'300124'
北方华创,'002371'
三一重工,'600031'
中信证券,'600030'
招商银行,'600036'
广联达,'002410'
用友网络,'600588'
万科A,'000002'
东方雨虹,'002271'
特变电工,'600089'
闻泰科技,'600745'
爱尔眼科,'300015'
中国巨石,'600176'
牧原股份,'002714'
中芯国际,'688981'
中国移动,'600941'
中国中铁,'601390'
